client_id,round_number,hierarchy,num_samples,bytes_written,bytes_read,local_computations
f0856_23,614,,28,26414840,26414840,3300755250
f3845_39,615,,18,26414840,26414840,2112483360
f2494_73,615,,18,26414840,26414840,2112483360
f0387_49,615,,32,26414840,26414840,3828876090
f2309_54,616,,14,26414840,26414840,1584362520
f1352_27,616,,29,26414840,26414840,3564815670
f1507_20,616,,15,26414840,26414840,1848422940
f1136_31,617,,22,26414840,26414840,2640604200
f1951_19,617,,18,26414840,26414840,2112483360
f0326_35,617,,39,26414840,26414840,4621057350
f2206_73,618,,15,26414840,26414840,1716392730
f3255_43,618,,17,26414840,26414840,1980453150
f0288_48,618,,31,26414840,26414840,3696845880
f0385_18,619,,39,26414840,26414840,4621057350
f1832_47,619,,16,26414840,26414840,1848422940
f3660_26,619,,16,26414840,26414840,1980453150
f3760_06,620,,16,26414840,26414840,1848422940
f3442_00,620,,18,26414840,26414840,2112483360
f2138_72,620,,17,26414840,26414840,2112483360
f3431_32,621,,19,26414840,26414840,2244513570
f3415_33,621,,18,26414840,26414840,2244513570
f2298_74,621,,18,26414840,26414840,2112483360
f1171_06,622,,32,26414840,26414840,3696845880
f3448_15,622,,18,26414840,26414840,2112483360
f3132_12,622,,18,26414840,26414840,2112483360
f1023_49,623,,24,26414840,26414840,2904664620
f3827_08,623,,17,26414840,26414840,2112483360
f2559_95,623,,13,26414840,26414840,1584362520
f3111_05,624,,18,26414840,26414840,2244513570
f2315_59,624,,17,26414840,26414840,2112483360
f1456_41,624,,31,26414840,26414840,3696845880
f1815_44,625,,17,26414840,26414840,2112483360
f1136_31,625,,22,26414840,26414840,2640604200
f3228_48,625,,19,26414840,26414840,2244513570
f1236_11,626,,27,26414840,26414840,3168725040
f0923_31,626,,33,26414840,26414840,3960906300
f1770_47,626,,16,26414840,26414840,1848422940
f1564_43,627,,16,26414840,26414840,1848422940
f0408_03,627,,34,26414840,26414840,4092936510
f2022_38,627,,18,26414840,26414840,2244513570
f1822_45,628,,17,26414840,26414840,1980453150
f2297_69,628,,17,26414840,26414840,2112483360
f0372_33,628,,33,26414840,26414840,3960906300
f0057_20,629,,39,26414840,26414840,4621057350
f0074_07,629,,30,26414840,26414840,3564815670
f2218_51,629,,15,26414840,26414840,1848422940
f3774_21,630,,18,26414840,26414840,2112483360
f3557_12,630,,17,26414840,26414840,2112483360
f1198_41,630,,33,26414840,26414840,3960906300
f2009_39,631,,14,26414840,26414840,1716392730
f1362_31,631,,29,26414840,26414840,3432785460
f3981_38,631,,18,26414840,26414840,2112483360
f0341_00,632,,35,26414840,26414840,4224966720
f0680_28,632,,39,26414840,26414840,4621057350
f3670_40,632,,17,26414840,26414840,2112483360
f3748_29,633,,18,26414840,26414840,2112483360
f2209_79,633,,17,26414840,26414840,1980453150
f4075_12,633,,19,26414840,26414840,2244513570
f1470_34,634,,34,26414840,26414840,4092936510
f1514_35,634,,17,26414840,26414840,1980453150
f1192_26,634,,21,26414840,26414840,2508573990
f0319_32,635,,33,26414840,26414840,3828876090
f4067_23,635,,19,26414840,26414840,2244513570
f2455_72,635,,18,26414840,26414840,2112483360
f0539_34,636,,26,26414840,26414840,3168725040
f0010_18,636,,44,26414840,26414840,5281208400
f0843_06,636,,42,26414840,26414840,5017147980
f0371_24,637,,29,26414840,26414840,3432785460
f0859_01,637,,34,26414840,26414840,4092936510
f0768_20,637,,32,26414840,26414840,3828876090
f0960_13,638,,24,26414840,26414840,2904664620
f1304_45,638,,31,26414840,26414840,3696845880
f0635_33,638,,40,26414840,26414840,4753087560
f1977_23,639,,8,26414840,26414840,1056241680
f3819_19,639,,15,26414840,26414840,1848422940
f1885_29,639,,18,26414840,26414840,2112483360
f1516_46,640,,16,26414840,26414840,1848422940
f0483_42,640,,35,26414840,26414840,4092936510
f2046_26,640,,5,26414840,26414840,528120840
f3748_29,641,,18,26414840,26414840,2112483360
f3128_15,641,,18,26414840,26414840,2244513570
f0003_42,641,,40,26414840,26414840,4753087560
f0347_04,642,,42,26414840,26414840,5017147980
f4026_43,642,,19,26414840,26414840,2244513570
f0658_30,642,,33,26414840,26414840,3828876090
f1880_06,643,,15,26414840,26414840,1848422940
f2549_82,643,,13,26414840,26414840,1584362520
f3143_04,643,,19,26414840,26414840,2244513570
f1582_49,644,,17,26414840,26414840,2112483360
f3741_12,644,,16,26414840,26414840,1980453150
f1816_24,644,,12,26414840,26414840,1452332310
f0090_10,645,,41,26414840,26414840,4885117770
f3998_40,645,,17,26414840,26414840,2112483360
f0930_07,645,,35,26414840,26414840,4092936510
f3430_38,646,,19,26414840,26414840,2244513570
f2124_66,646,,16,26414840,26414840,1848422940
f3807_11,646,,19,26414840,26414840,2244513570
f1925_00,647,,17,26414840,26414840,1980453150
f2057_23,647,,15,26414840,26414840,1848422940
f3792_21,647,,17,26414840,26414840,1980453150
f2447_93,648,,17,26414840,26414840,2112483360
f2570_52,648,,18,26414840,26414840,2112483360
f1013_47,648,,30,26414840,26414840,3564815670
f1079_06,649,,26,26414840,26414840,3168725040
f4034_28,649,,18,26414840,26414840,2112483360
f2514_50,649,,18,26414840,26414840,2112483360
f0118_07,650,,41,26414840,26414840,4885117770
f2178_93,650,,19,26414840,26414840,2244513570
f2537_57,650,,18,26414840,26414840,2112483360
f0473_21,651,,42,26414840,26414840,5017147980
f1768_48,651,,17,26414840,26414840,2112483360
f0366_08,651,,35,26414840,26414840,4224966720
f2446_88,652,,18,26414840,26414840,2244513570
f3347_47,652,,18,26414840,26414840,2244513570
f0935_28,652,,35,26414840,26414840,4092936510
f0851_41,653,,23,26414840,26414840,2772634410
f1913_37,653,,15,26414840,26414840,1716392730
f0898_29,653,,37,26414840,26414840,4489027140
f1727_36,654,,2,26414840,26414840,264060420
f2127_59,654,,17,26414840,26414840,1980453150
f1268_12,654,,27,26414840,26414840,3300755250
f3262_45,655,,15,26414840,26414840,1848422940
f0902_17,655,,40,26414840,26414840,4753087560
f4005_01,655,,19,26414840,26414840,2244513570
